7136	22	15902	0	0
19621	22	15902	0	0
8583	15	15902	0	0
6803	9	7227	0	0
6803	9	7227	0	0
1137	17	1137	1	0
1137	17	1137	1	0
7976	22	7976	1	0
7976	22	7976	1	0
16656	2	16656	1	0
10829	17	16656	1	0
10829	17	9427	1	0
10829	17	9427	1	0
15751	22	4207	1	0
7763	9	6345	1	0
7763	1	3430	1	0
7763	9	2703	1	0
7763	12	14086	1	0
16122	9	2980	1	0
16122	9	2980	1	0
16122	15	2980	1	0
13797	18	16122	1	0
16122	9	2980	1	0
16122	9	2980	1	0
16122	15	2980	1	0
16122	23	2980	1	0
13797	18	16122	1	0
16122	23	2980	1	0
13797	18	16122	1	0
10702	18	10702	1	0
7903	22	19608	1	0
7903	2	19777	1	0
7903	2	19777	1	0
7903	2	787	1	0
7903	2	787	1	0
7903	2	19777	1	0
9848	17	8666	1	0
327	9	13632	1	0
10903	9	13632	1	0
10877	9	13632	1	0
4262	9	13632	1	0
16531	9	16531	1	0
1880	19	4262	1	0
1880	19	4262	1	0
1880	19	4262	1	0
13914	5	13092	1	0
17464	5	17464	1	0
3581	5	9090	1	0
17464	5	17464	1	0
13914	5	3581	1	0
10903	9	12694	1	0
849	18	849	1	0
5422	15	13815	1	0
18725	18	18725	1	0
7430	15	13815	1	0
849	15	13815	1	0
10903	7	18280	1	0
10877	7	327	1	0
10903	15	12694	1	0
19564	5	19564	2	0
18265	7	10115	2	0
18265	5	19564	2	0
18795	18	18795	2	0
10768	17	349	2	0
10768	17	349	2	0
10768	17	349	2	0
12185	5	19564	2	0
19564	7	13755	2	0
1926	5	1926	2	0
576	18	576	2	0
576	17	349	2	0
2561	15	8666	2	0
2561	17	2561	2	0
2561	18	4385	2	0
2561	15	4555	2	0
9796	17	4385	2	0
9796	17	4385	2	0
9796	17	4385	2	0
9796	17	4385	2	0
9796	17	4385	2	0
5556	0	5556	2	0
5556	0	11502	2	0
5556	7	12074	2	0
12074	7	12074	2	0
5879	7	5556	2	0
5556	7	19274	2	0
5556	7	19274	2	0
5556	7	19274	2	0
2610	9	18862	2	0
2610	9	2995	2	0
2610	9	2610	2	0
1930	18	2610	2	0
6401	22	6401	2	0
1930	22	18862	2	0
1930	22	10576	2	0
10576	22	2610	2	0
10576	22	2995	2	0
10576	9	2995	2	0
10576	9	2610	2	0
1930	18	10576	2	0
15040	17	15040	2	0
766	15	766	2	0
15040	21	17904	2	0
14155	22	6045	2	0
2281	18	6401	2	0
14155	22	6401	2	0
10576	18	6401	2	0
10829	7	6045	2	0
1930	18	14155	2	0
14118	21	9848	2	0
14118	21	9848	2	0
2561	5	12406	2	0
12406	21	9848	2	0
7160	21	5739	2	0
7160	21	1701	2	0
12927	1	14232	2	0
14232	23	1701	2	0
16241	21	5739	2	0
7160	21	5739	2	0
7227	21	16241	2	0
5739	23	7160	2	0
5739	23	16241	2	0
5739	9	7748	2	0
2918	19	13086	2	0
13086	5	2918	2	0
15766	0	16344	2	0
15766	0	10189	2	0
9972	15	9972	3	0
9972	15	9972	3	0
13968	17	10499	3	0
10499	15	10499	3	0
10332	2	12592	3	0
12592	9	10332	3	0
12592	0	12592	3	0
12592	13	3927	3	0
15553	18	12592	3	0
12592	2	8193	3	0
12592	2	8193	3	0
12592	2	12592	3	0
12592	2	16384	3	0
12592	2	6530	3	0
12592	18	16717	3	0
12592	9	3927	3	0
16717	2	7866	3	0
12592	5	3927	3	0
16717	15	3430	3	0
12592	23	16717	3	0
7866	7	12033	3	0
11335	5	16717	3	0
12592	18	16717	3	0
13051	1	640	3	0
13051	22	12749	3	0
13301	13	640	3	0
13051	17	640	3	0
13301	17	640	3	0
13051	17	640	3	0
651	15	13051	3	0
651	15	13301	3	0
10046	18	10046	3	0
10046	15	10046	3	0
5003	21	10046	3	0
6253	21	12147	3	0
6253	21	12147	3	0
10046	17	5003	3	0
17999	18	14155	3	0
14155	19	15480	3	0
15175	15	15480	3	0
4241	7	15480	3	0
17999	1	15994	3	0
17999	1	15480	3	0
15175	7	8475	3	0
8475	1	15175	3	0
8475	19	15175	3	0
14794	15	14794	3	0
16487	17	16487	3	0
15175	15	6301	3	0
13401	15	13401	3	0
13401	7	13401	3	0
10708	17	14155	3	0
17445	18	841	3	0
4769	21	4769	3	0
4769	21	4769	3	0
18817	18	18817	4	0
17385	1	6417	4	0
324	7	6417	4	0
18817	22	6417	4	0
16070	5	199	5	0
12892	5	199	5	0
199	7	16070	5	0
11828	17	3870	5	0
11828	17	3870	5	0
11828	17	3870	5	0
11828	17	1835	5	0
16070	18	14155	5	0
16070	5	4940	5	0
16070	5	6528	5	0
16070	5	17276	5	0
16070	5	17276	5	0
16070	1	7571	5	0
6528	5	7571	5	0
4940	5	7571	5	0
17276	5	7571	5	0
17276	5	7571	5	0
3727	2	3727	5	0
13590	18	13590	5	0
13590	2	13954	5	0
16365	9	10001	5	0
17796	9	17796	5	0
17796	9	10001	5	0
16365	9	10001	5	0
16365	9	10001	5	0
9933	9	9933	5	0
9933	9	9933	5	0
14118	21	6526	5	0
6454	18	6454	5	0
6454	1	6454	5	0
6454	22	6454	5	0
17834	18	6503	5	0
17475	7	17475	5	0
17475	18	1256	5	0
14333	22	14333	6	0
798	7	798	6	0
5361	18	15938	6	0
15938	23	5361	6	0
17079	17	14514	6	0
17079	18	4902	6	0
17079	0	14514	6	0
16544	18	7976	6	0
6383	18	7976	6	0
18242	18	7976	6	0
13643	18	4940	6	0
9152	9	12334	6	0
9152	9	12334	6	0
13030	18	7976	6	0
13030	18	7976	6	0
13030	18	7976	6	0
13030	18	7976	6	0
16544	18	7976	6	0
12334	9	16544	6	0
12334	9	16544	6	0
9152	9	16544	6	0
13643	18	4940	6	0
13643	22	4940	6	0
19784	17	19784	6	0
13470	5	5075	6	0
5075	22	2613	6	0
4113	5	5075	6	0
19784	15	5075	6	0
19784	17	3870	6	0
19784	17	3870	6	0
19784	17	651	6	0
19784	22	5075	6	0
19784	15	5075	6	0
19784	22	2613	6	0
4113	18	5075	6	0
3301	18	5075	6	0
3364	22	2613	6	0
13516	22	2613	6	0
4113	22	4113	6	0
13516	22	2613	6	0
3364	22	3364	6	0
19784	17	19784	6	0
5075	22	2613	6	0
4113	18	4113	6	0
19784	17	651	6	0
5075	15	5075	6	0
19784	17	3870	6	0
19784	17	3870	6	0
19784	15	5075	6	0
3364	22	2613	6	0
13516	22	2613	6	0
4113	22	4113	6	0
13516	22	2613	6	0
3364	22	3364	6	0
1288	7	1288	6	0
1288	7	18618	6	0
13470	7	13912	6	0
18895	7	18895	7	0
19807	5	18895	7	0
19807	17	18895	7	0
19807	1	12185	7	0
19807	1	12185	7	0
17531	5	19859	7	0
19807	7	15437	7	0
1374	18	1374	7	0
9445	5	19807	7	0
1374	21	1374	7	0
17079	17	8666	7	0
19807	9	12963	7	0
12963	18	19807	7	0
19807	9	12963	7	0
19807	2	4023	7	0
19807	2	4023	7	0
2848	22	2848	7	0
17090	22	2848	7	0
17644	22	14789	7	0
2261	22	2848	7	0
12592	22	14789	7	0
9329	22	14789	7	0
107	1	14617	7	0
17090	22	2848	7	0
107	1	2848	7	0
17090	1	2848	7	0
5808	1	2848	7	0
17079	17	14514	7	0
17079	18	4902	7	0
18194	19	7202	7	0
18194	19	7202	7	0
18194	19	7202	7	0
18194	19	7202	7	0
15249	1	15249	7	0
4902	17	15200	7	0
4902	17	14514	7	0
12580	23	10309	7	0
12580	9	10309	7	0
16227	7	10309	7	0
10309	7	10309	7	0
16227	22	13904	7	0
16227	22	13904	7	0
16227	22	13904	7	0
9174	18	9174	7	0
13047	5	9174	7	0
7346	17	9174	7	0
15696	18	7346	7	0
17389	5	7346	7	0
3180	18	16034	7	0
1594	17	5965	7	0
1594	23	16034	7	0
12868	7	1594	7	0
3180	18	1594	7	0
3180	22	16034	7	0
19644	5	17811	7	0
5206	5	17811	7	0
1101	5	17811	7	0
6917	5	17811	7	0
498	5	17811	7	0
19644	5	17811	7	0
4063	5	17811	7	0
7346	5	17811	7	0
4063	5	17811	7	0
4330	18	4330	7	0
8950	18	8950	7	0
3180	18	1594	7	0
13053	18	1594	7	0
3180	18	16034	7	0
13053	18	1594	7	0
12868	7	1594	7	0
1689	7	3180	7	0
8950	18	8950	7	0
3933	18	3933	7	0
8950	22	8950	7	0
7340	22	12868	7	0
3933	22	3933	7	0
7340	23	19837	7	0
12868	18	7340	7	0
7340	17	5965	7	0
7340	7	14028	7	0
10188	1	17103	7	0
17783	18	7884	8	0
1479	5	13371	8	0
12628	5	13371	8	0
13327	13	13371	8	0
498	9	8264	8	0
498	9	15470	8	0
498	9	8264	8	0
498	9	15470	8	0
15470	18	498	8	0
15470	18	498	8	0
8264	18	498	8	0
8264	18	498	8	0
498	7	8017	8	0
498	9	8264	8	0
498	9	8264	8	0
9886	15	9886	8	0
18668	19	9886	8	0
15347	15	18668	8	0
15470	15	18668	8	0
74	18	498	8	0
15470	17	4423	8	0
15470	15	4423	8	0
2199	18	2199	8	0
2199	19	4049	8	0
15470	9	2199	8	0
15470	17	4049	8	0
4481	18	15470	8	0
15470	17	4049	8	0
15470	15	4423	8	0
15470	17	4049	8	0
15470	15	11099	8	0
2863	7	12033	8	0
2863	18	19582	8	0
2863	7	16344	8	0
15470	17	3646	8	0
15470	15	11099	8	0
15470	17	3646	8	0
15470	15	2199	8	0
11099	18	15470	8	0
498	23	15470	8	0
15470	7	498	8	0
15470	15	11099	8	0
2329	5	12033	8	0
16820	21	16820	8	0
17972	5	13526	8	0
16032	5	13526	8	0
16344	5	16032	8	0
16344	5	16177	8	0
17972	5	16032	8	0
16344	5	17972	8	0
16032	5	13526	8	0
16344	5	13526	8	0
16032	5	13526	8	0
18099	18	2848	8	0
18099	21	19644	8	0
18150	18	18099	8	0
18150	18	18099	8	0
5512	17	14155	8	0
5512	22	7290	8	0
5512	2	10136	8	0
19644	22	9455	8	0
18099	22	498	8	0
18099	22	8484	8	0
19644	22	7290	8	0
7290	15	18099	8	0
2848	22	4063	8	0
2848	15	4417	8	0
2848	15	4417	8	0
4417	18	4417	8	0
2848	22	9455	8	0
18099	23	4417	8	0
18099	17	9932	8	0
18099	17	9932	8	0
18099	17	10297	8	0
18099	17	10491	8	0
2848	23	18099	8	0
2848	23	5535	8	0
460	13	460	8	0
460	18	8038	8	0
8038	1	460	8	0
8038	13	460	8	0
8038	1	10410	8	0
8038	9	460	8	0
107	5	13335	8	0
13335	1	9151	8	0
107	7	16344	8	0
13335	1	9151	8	0
13335	5	13517	8	0
107	5	13335	8	0
13335	7	16344	8	0
8973	18	13335	8	0
16552	7	16344	8	0
13335	5	16344	8	0
4034	15	4034	8	0
331	18	19621	8	0
13335	7	1801	8	0
13335	1	13337	8	0
18491	13	12185	8	0
18491	13	12185	8	0
18491	13	18491	8	0
745	13	15180	8	0
745	13	4343	8	0
2881	13	10312	8	0
2881	13	4343	8	0
745	13	4343	8	0
745	13	15180	8	0
2881	13	15180	8	0
745	13	10312	8	0
745	13	10312	8	0
2881	13	4343	8	0
10312	5	6088	8	0
4343	5	6088	8	0
15180	5	6088	8	0
14630	1	6088	8	0
14630	18	14630	8	0
19554	18	19554	8	0
13758	7	19554	8	0
16581	5	9217	9	0
4036	12	9217	9	0
4036	7	16581	9	0
16331	5	16331	9	0
16331	7	16331	9	0
13335	1	16331	9	0
12368	23	3330	9	0
12368	2	3330	9	0
3330	18	12368	9	0
12368	22	12368	9	0
9388	18	9388	9	0
9388	18	9388	9	0
3330	9	11814	9	0
12368	23	3330	9	0
12368	2	3330	9	0
12368	9	395	9	0
12368	9	18280	9	0
12368	9	2640	9	0
12368	9	3330	9	0
12368	9	11814	9	0
12368	2	12368	9	0
8484	17	4455	9	0
8484	17	9824	9	0
8484	17	9824	9	0
7290	2	9824	9	0
7290	2	4455	9	0
444	2	9824	9	0
15525	2	4455	9	0
15525	2	9824	9	0
18625	7	18625	9	0
18625	7	18625	9	0
1199	21	18166	9	0
8293	5	16552	10	0
107	5	9329	10	0
1725	18	1725	10	0
8293	5	16229	10	0
8293	5	18587	10	0
1725	23	13529	10	0
2966	17	10829	10	0
13529	18	2966	10	0
1725	2	2966	10	0
2966	7	1725	10	0
5835	7	11993	10	0
1460	15	7127	10	0
